name,meal_type,tags,ingredients,prep,Calories,Carbs (g),Protein (g),Fat (g)
Chickpea Salad,"['Lunch', 'Dinner']","['Vegan', 'LowGI']","['chickpeas', 'onion']",Mix chickpeas and onion.,250,30,12,5.0
Grilled Tofu,"['Lunch', 'Dinner']","['Vegan', 'LowGI']","['tofu', 'oil']",Grill tofu with spices.,200,6,18,9.0
Oatmeal,['Breakfast'],"['Vegan', 'LowGI']","['oats', 'water']",Boil oats in water.,180,27,6,3.0
Paneer Wrap,['Lunch'],['Vegetarian'],"['paneer', 'wrap']",Wrap grilled paneer.,300,20,15,18.0
Fruit & Nuts,['Snack'],['Vegan'],"['banana', 'almonds']",Combine fruits and nuts.,150,20,4,8.0
Lamb Curry,"['Lunch', 'Dinner']",['NonVeg'],"['lamb', 'spices']",Cook lamb with spices.,400,10,25,25.0
Tuna Salad,['Lunch'],"['NonVeg', 'LowFat']","['tuna', 'lettuce']",Mix tuna and lettuce.,250,5,22,12.0
Egg Bhurji,['Breakfast'],['NonVeg'],"['eggs', 'onion']",Scramble eggs with onion.,220,4,14,16.0
Steamed Broccoli,['Dinner'],"['Vegan', 'LowFat', 'LowGI']",['broccoli'],Steam broccoli.,70,12,5,1.0
Boiled Eggs,"['Breakfast', 'Snack']","['NonVeg', 'LowGI']",['eggs'],Boil eggs.,150,1,13,11.0
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,429,30,17,26.78
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,162,37,10,1.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,239,19,6,15.44
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,277,32,4,14.78
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,163,20,16,2.11
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,107,30,13,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,275,12,22,15.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,231,12,7,17.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,447,33,20,26.11
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,295,25,29,8.78
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,321,8,11,27.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,419,35,11,26.11
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,168,20,20,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,272,22,22,10.67
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,238,27,16,7.33
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,190,24,23,1.0
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,221,29,27,1.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,144,23,4,4.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,436,36,15,25.78
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,109,16,8,1.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,197,14,8,12.11
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,241,36,26,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,198,10,13,11.78
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,167,12,6,10.56
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,371,17,11,28.78
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,387,34,7,24.78
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,176,15,21,3.56
